drug,manufacturing_date,expiry_date,no_of_boxes,Batch_ID
Aspirin,2023-04-26,2024-09-16,26,#ABC564
Diclofenac,2023-11-23,2024-12-07,62,#ZDC349
Levalbuterol,2023-10-24,2025-05-09,29,#YAK046
Salmeterol,2022-04-09,2023-01-19,35,#BAT514
Tiotropium,2022-08-11,2024-05-06,52,#ABC521
Tramadol,2022-08-20,2023-06-13,24,#ABC504
Ketorolac,2023-07-08,2025-02-15,48,#ABY123
Gemfibrozil,2022-08-20,2024-01-21,53,#AOP995
Ranitidine,2022-11-28,2024-08-05,11,#ANT027
Entecavir,2022-07-28,2024-07-08,25,#AOA009
Cimetidine,2023-09-23,2025-06-24,49,#MSE390
Lactase,2022-01-24,2022-08-17,54,#MAE887
Promethazine,2023-06-21,2025-04-06,24,#ATS123
Mebeverine,2023-03-24,2024-08-18,39,#COD234
Pantoprazole,2022-11-13,2024-07-17,54,#OOP456
Sotalol,2022-01-29,2023-08-31,81,#PPE333
Rosuvastatin,2022-10-06,2023-11-14,21,#SER932
Beclomethasone,2022-01-05,2022-09-04,14,#APX032
Pregabalin,2022-10-26,2023-06-11,46,#AIO055
Naproxen,2022-12-30,2024-12-16,11,#YUI516
